LocID,Location,VarID,Variant,Time,MidPeriod,PopMale,PopFemale,PopTotal
50,"Bangladesh",2,"Medium",1950,1950.5,19784.468,18110.204,37894.681
50,"Bangladesh",2,"Medium",1951,1951.5,20181.365,18523.705,38705.076
50,"Bangladesh",2,"Medium",1952,1952.5,20565.646,18925.411,39491.056
50,"Bangladesh",2,"Medium",1953,1953.5,20962.769,19337.599,40300.362
50,"Bangladesh",2,"Medium",1954,1954.5,21391.782,19777.288,41169.065
50,"Bangladesh",2,"Medium",1955,1955.5,21865.359,20256.163,42121.524
50,"Bangladesh",2,"Medium",1956,1956.5,22389.513,20780.418,43169.927
50,"Bangladesh",2,"Medium",1957,1957.5,22963.865,21350.955,44314.819
50,"Bangladesh",2,"Medium",1958,1958.5,23582.489,21963.996,45546.484
50,"Bangladesh",2,"Medium",1959,1959.5,24235.236,22612.200,46847.445
50,"Bangladesh",2,"Medium",1960,1960.5,24911.876,23287.876,48199.747
50,"Bangladesh",2,"Medium",1961,1961.5,25606.424,23986.371,49592.802
50,"Bangladesh",2,"Medium",1962,1962.5,26321.001,24709.128,51030.137
50,"Bangladesh",2,"Medium",1963,1963.5,27067.468,25464.946,52532.417
50,"Bangladesh",2,"Medium",1964,1964.5,27862.773,26266.327,54129.100
50,"Bangladesh",2,"Medium",1965,1965.5,28715.276,27118.760,55834.038
50,"Bangladesh",2,"Medium",1966,1966.5,29638.890,28034.092,57672.990
50,"Bangladesh",2,"Medium",1967,1967.5,30620.100,29000.564,59620.669
50,"Bangladesh",2,"Medium",1968,1968.5,31607.331,29972.138,61579.473
50,"Bangladesh",2,"Medium",1969,1969.5,32530.720,30886.670,63417.394
50,"Bangladesh",2,"Medium",1970,1970.5,33344.392,31703.381,65047.770
50,"Bangladesh",2,"Medium",1971,1971.5,34024.610,32400.141,66424.744
50,"Bangladesh",2,"Medium",1972,1972.5,34597.560,32999.905,67597.470
50,"Bangladesh",2,"Medium",1973,1973.5,35128.764,33562.425,68691.185
50,"Bangladesh",2,"Medium",1974,1974.5,35711.603,34172.812,69884.420
50,"Bangladesh",2,"Medium",1975,1975.5,36413.668,34892.255,71305.923
50,"Bangladesh",2,"Medium",1976,1976.5,37256.836,35742.303,72999.136
50,"Bangladesh",2,"Medium",1977,1977.5,38221.715,36704.189,74925.896
50,"Bangladesh",2,"Medium",1978,1978.5,39284.156,37749.693,77033.846
50,"Bangladesh",2,"Medium",1979,1979.5,40403.392,38833.385,79236.776
50,"Bangladesh",2,"Medium",1980,1980.5,41548.717,39922.131,81470.860
50,"Bangladesh",2,"Medium",1981,1981.5,42714.090,41007.178,83721.268
50,"Bangladesh",2,"Medium",1982,1982.5,43907.598,42099.727,86007.331
50,"Bangladesh",2,"Medium",1983,1983.5,45128.513,43209.736,88338.242
50,"Bangladesh",2,"Medium",1984,1984.5,46378.667,44353.700,90732.362
50,"Bangladesh",2,"Medium",1985,1985.5,47657.796,45542.070,93199.865
50,"Bangladesh",2,"Medium",1986,1986.5,48964.828,46777.598,95742.431
50,"Bangladesh",2,"Medium",1987,1987.5,50292.948,48050.860,98343.809
50,"Bangladesh",2,"Medium",1988,1988.5,51629.661,49345.668,100975.321
50,"Bangladesh",2,"Medium",1989,1989.5,52959.318,50639.905,103599.232
50,"Bangladesh",2,"Medium",1990,1990.5,54270.963,51917.683,106188.642
50,"Bangladesh",2,"Medium",1991,1991.5,55556.375,53171.070,108727.432
50,"Bangladesh",2,"Medium",1992,1992.5,56818.047,54403.880,111221.938
50,"Bangladesh",2,"Medium",1993,1993.5,58068.798,55626.343,113695.139
50,"Bangladesh",2,"Medium",1994,1994.5,59327.824,56854.444,116182.267
50,"Bangladesh",2,"Medium",1995,1995.5,60607.851,58099.021,118706.871
50,"Bangladesh",2,"Medium",1996,1996.5,61908.996,59360.649,121269.645
50,"Bangladesh",2,"Medium",1997,1997.5,63222.333,60632.300,123854.640
50,"Bangladesh",2,"Medium",1998,1998.5,64540.090,61907.874,126447.965
50,"Bangladesh",2,"Medium",1999,1999.5,65851.131,63178.565,129029.691
50,"Bangladesh",2,"Medium",2000,2000.5,67144.696,64436.552,131581.243
50,"Bangladesh",2,"Medium",2001,2001.5,68424.899,65682.265,134107.160
50,"Bangladesh",2,"Medium",2002,2002.5,69687.126,66913.546,136600.667
50,"Bangladesh",2,"Medium",2003,2003.5,70901.942,68117.053,139019.001
50,"Bangladesh",2,"Medium",2004,2004.5,72031.406,69276.081,141307.489
50,"Bangladesh",2,"Medium",2005,2005.5,73051.458,70379.648,143431.101
50,"Bangladesh",2,"Medium",2006,2006.5,73946.805,71421.209,145368.004
50,"Bangladesh",2,"Medium",2007,2007.5,74732.912,72406.277,147139.191
50,"Bangladesh",2,"Medium",2008,2008.5,75454.665,73351.150,148805.814
50,"Bangladesh",2,"Medium",2009,2009.5,76175.417,74279.296,150454.708
50,"Bangladesh",2,"Medium",2010,2010.5,76941.073,75208.038,152149.102
50,"Bangladesh",2,"Medium",2011,2011.5,77768.406,76143.516,153911.916
50,"Bangladesh",2,"Medium",2012,2012.5,78645.071,77081.978,155727.053
50,"Bangladesh",2,"Medium",2013,2013.5,79552.350,78018.940,157571.292
50,"Bangladesh",2,"Medium",2014,2014.5,80459.146,78946.135,159405.279
